gene_ID	Flower	Meiocyte	Microspore	Veg	Spm	Preglobular	Globular	Heart	Torpedo	BentCotyledon	MatureGreen	Seedling
AT4G20030	10.7575	0.216585	1.30609	0	0	27.2991	24.2713	27.38055	50.4756	28.3328	32.5445	6.60835
AT4G20040	1.84558	0.167607	0	0	0	29.98	16.7495	7.49834	5.010075	3.12054	0.661093	0.268275
AT4G20050	55.6289	0.3633035	0.479339	0	0	1.21966	1.46417	0.141401	0.343612	0.111588	0.0774491	0
AT4G20060	1.75905	1.76892	0.0575217	0	0	0.782392	1.12323	1.271835	0.8394505	0.860277	0.66045	0.817519
AT4G20070	2.83034	6.215415	2.09344	25.7921	2.03054	2.25802	0.949962	1.90341	3.80897	24.6046	52.8267	11.148105
AT4G20080	0.601433	0.2173245	2.641	0	0	0	0	0	0	0	0	0
AT4G20090	3.07987	23.95895	0.203738	0	0	1.59001	2.34221	1.692115	1.342705	0.968374	1.99846	0.090554
AT4G20095	0.071659	0	0	0	0	0	0	0	0	0	0	0
AT4G20100	1.55212	0.1201745	4.96818	0	0	0	0	0	0	0	0	0
AT4G20110	0.381802	1.149245	0.142327	0	0	0	0	0	0	0	0	5.41831
AT4G20115	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20130	22.1672	1.78923	1.14056	0	0	9.82555	16.4222	25.95105	29.7363	24.563	4.20341	4.67703
AT4G20140	0.645999	1.474055	0.254964	2.60344	0	22.3045	26.0616	18.6538	15.9344	21.0328	18.5419	4.652595
AT4G20150	155.566	60.71935	428.997	0.396224	0.447799	709.765	590.706	442.194	668.4895	377.619	395.464	89.27485
AT4G20160	0.417122	0.988264	3.52405	2395.59	182.999	0.178922	0	0	0	0	0.0323911	0.1005898
AT4G20170	6.72272	6.79636	0.136949	0	0	4.2556	4.40786	4.32141	4.49918	6.69423	11.6885	3.47878
AT4G20180	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20190	0.136326	0	0.0937204	0	0	0	0	0	0	0	0	0
AT4G20200	0	0.209626	0	0	0	0	0	0	0	0	0	0
AT4G20210	0.0701724	0.309021	0.342203	0	0	0	0	0.0220129	0	0	0	0.930154
AT4G20220	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20230	0.122367	0	0.131716	0.0744739	0.0867004	0	0	0	0	0	0.102008	1.3854105
AT4G20235	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20240	0.0284141	0.4715125	0	0	0	0	0	0.0098855	0	0	0.0708905	6.205675
AT4G20250	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20260	43.127	0.82193	1.09078	6.09477	21.8784	0.0879682	0.195956	0.267666	6.5878	21.3759	18.0601	227.5085
AT4G20270	16.3684	1.597925	0.0465358	0	0	3.18017	1.83511	2.43686	4.701665	8.86277	10.5757	9.05316
AT4G20280	21.6138	104.1252	11.8023	0	0	40.7456	40.239	27.47145	28.9018	22.6883	30.3422	6.02059
AT4G20290	0.154531	2.360705	0	2.00508	0	0	0	0.2861395	0.798417	1.02335	0.878015	0
AT4G20300	14.1438	73.8828	11.5089	62.4583	17.4839	5.2078	3.02818	5.35928	8.015715	18.7375	34.6901	6.0282
AT4G20310	4.19991	2.481037	0.513163	0.841631	0	2.9219	3.50695	3.524775	4.14805	4.26079	7.19577	0.098264
AT4G20320	73.0416	0.883926	1.25787	0	0	0.70492	2.15942	16.2846	17.17205	25.7571	0.314461	6.13925
AT4G20325	9.56169	36.45725	0.458824	0	3.45998	26.7292	28.0419	31.5497	22.3877	9.23653	1.85375	1.213386
AT4G20330	25.1185	141.67	21.2394	30.6405	9.51298	25.1237	21.6668	19.1518	19.89795	18.4106	35.0842	18.02935
AT4G20340	11.2571	126.069	3.1222	24.8678	14.801	7.01081	5.72568	7.185795	4.113105	4.04532	4.88855	0.794941
AT4G20350	4.76045	1.981402	2.50941	0.249986	0	5.89453	6.36365	6.201555	5.15156	4.01057	2.37146	0
AT4G20360	223.703	157.1925	11.8376	0.107346	0	66.0596	107.834	159.052	344.583	265.094	52.0052	61.7808
AT4G20362	0.990946	1.41121	0	0	0	1.5104	4.45442	6.64359	16.2777	2.63254	7.64583	2.017325
AT4G20365	0	0.162275448	0.000417116	0.0001326	0	0.000378497	0	0	0.01244599	0	3.61959E-05	0
AT4G20370	0.123172	1.9329	0	0	0	0	0.126234	0.0807012	0.0565692	0	0.106096	0
AT4G20380	10.8538	53.0442	7.65344	60.278	217.048	29.92	29.3579	27.6895	30.4448	24.4895	31.4476	8.06245
AT4G20390	1.18166	1.817808	4.15681	0.697747	0.683358	2.05366	1.80418	3.14504	3.313855	2.93569	5.54757	21.1707
AT4G20400	19.0881	33.2156	2.19231	0.383923	5.49249	20.6096	19.1873	18.4481	12.82855	17.7939	14.941	6.71685
AT4G20410	29.348	7.739205	15.5073	2.77319	2.21725	5.99189	9.1037	9.33546	13.2107	9.15693	21.7057	16.31715
AT4G20420	232.24	0.986605	0	0	0	0.350922	1.85349	2.98245	5.62783	7.65388	6.68306	0
AT4G20430	9.75394	0.3039955	0.0206795	0	0	1.28836	1.91574	4.083685	6.599995	16.6247	14.4689	2.1577
AT4G20440	35.7827	100.1209	42.2006	0	0	362.578	391.23	282.081	276.9205	183.021	46.0879	1.605507
AT4G20450	0.0950213	0.1467595	0.0435258	0.11871	0	0	0	0	0	0	0	0.1476085
AT4G20460	7.97428	2.192795	9.7852	14.7733	1.33916	0.947258	1.17341	0.506874	0.20174	0.101711	2.16125	2.36987
AT4G20470	0	1.991855	0	1.34666	0	0.00865911	0.0138147	0	0	0	0	0
AT4G20480	39.6923	17.7909	20.5018	1.51225	0	57.4036	51.4975	43.73005	48.23365	38.0706	74.0123	1.469615
AT4G20490	1.89E-06	2.12E-02	3.15E-02	0.00E+00	0.00E+00	1.34E-01	2.25E-02	0.00E+00	8.50E-03	0.00E+00	0.00E+00	0.00E+00
AT4G20500	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.59E-06	0.00E+00	0.00E+00	0.00E+00	0.00E+00
